order_id,customer_id,product,category,quantity,unit_price,sales,profit,date,region,discount_pct
ORD00020,CUST0192,Cotton T-Shirt Pack,Clothing,5,960.0,4800.0,2085.54,2023-01-01,South,20.0
ORD00833,CUST0151,Python Mastery,Books,3,675.0,2025.0,999.5,2023-01-01,North,10.0
ORD00869,CUST0229,Protein Shaker,Sports,4,450,1800,607.53,2023-01-01,North,0
ORD01534,CUST0251,Laptop Pro X1,Electronics,1,80750.0,80750.0,9304.46,2023-01-01,East,5.0
ORD00631,CUST0048,Yoga Mat Premium,Sports,2,1620.0,3240.0,1027.31,2023-01-02,West,10.0
ORD00109,CUST0081,Air Fryer Deluxe,Home & Kitchen,2,6750.0,13500.0,2852.01,2023-01-03,South,10.0
ORD00558,CUST0232,Business Analytics,Books,1,464.0,464.0,200.35,2023-01-03,North,20.0
ORD00945,CUST0253,Protein Shaker,Sports,4,450,1800,404.7,2023-01-03,Central,0
ORD01115,CUST0146,Smart Watch Series 5,Electronics,2,17600.0,35200.0,5419.6,2023-01-03,South,20.0
ORD01021,CUST0027,Data Science Handbook,Books,4,520.0,2080.0,890.7,2023-01-04,South,20.0
ORD01371,CUST0200,Machine Learning A-Z,Books,5,820,4100,1399.68,2023-01-04,West,0
ORD00333,CUST0269,Yoga Mat Premium,Sports,1,1440.0,1440.0,490.0,2023-01-07,North,20.0
ORD00942,CUST0172,Machine Learning A-Z,Books,5,656.0,3280.0,1230.51,2023-01-07,North,20.0
ORD01175,CUST0193,Business Analytics,Books,4,580,2320,1079.3,2023-01-07,South,0
ORD01243,CUST0196,Cotton T-Shirt Pack,Clothing,3,1200,3600,1218.5,2023-01-07,Central,0
ORD01549,CUST0080,Cotton T-Shirt Pack,Clothing,3,1020.0,3060.0,1370.37,2023-01-07,East,15.0
ORD00509,CUST0155,Winter Jacket,Clothing,5,5510.0,27550.0,10108.02,2023-01-08,Central,5.0
ORD01334,CUST0064,Foam Roller,Sports,1,855.0,855.0,217.37,2023-01-08,West,10.0
ORD00695,CUST0053,Wireless Headphones,Electronics,3,8500,25500,3863.75,2023-01-09,East,0
ORD01727,CUST0018,Machine Learning A-Z,Books,1,697.0,697.0,259.13,2023-01-09,East,15.0
ORD01163,CUST0211,Mechanical Keyboard,Electronics,5,5200.0,26000.0,3795.28,2023-01-11,South,20.0
ORD01495,CUST0192,Data Science Handbook,Books,1,650,650,224.12,2023-01-11,Central,0
ORD00297,CUST0137,Winter Jacket,Clothing,3,5220.0,15660.0,6179.07,2023-01-12,East,10.0
ORD01747,CUST0066,Running Shoes,Clothing,5,4275.0,21375.0,8277.68,2023-01-12,Central,5.0
ORD01165,CUST0265,USB-C Hub,Electronics,5,3200,16000,1452.81,2023-01-13,East,0
ORD01231,CUST0166,Smart Watch Series 5,Electronics,1,20900.0,20900.0,3038.84,2023-01-13,South,5.0
ORD01746,CUST0043,USB-C Hub,Electronics,1,2720.0,2720.0,452.19,2023-01-13,East,15.0
ORD01361,CUST0187,Blender 1000W,Home & Kitchen,3,3500,10500,2252.6,2023-01-14,East,0
ORD00150,CUST0204,Cotton T-Shirt Pack,Clothing,3,1200,3600,1469.29,2023-01-15,Central,0
